File,Book,Chapter,ExpectedVerses,Overall,Check,Status,Value,Detail
2CO_001.wav,2 Corinthians,1,24,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
2CO_001.wav,2 Corinthians,1,24,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
2CO_001.wav,2 Corinthians,1,24,PASS,Head Silence,PASS,2.00s,Expected 2.0s +/- 0.5s; measured 2.00s
2CO_001.wav,2 Corinthians,1,24,PASS,Tail Silence,PASS,2.27s,Expected 2.0s +/- 0.5s; measured 2.27s
2CO_001.wav,2 Corinthians,1,24,PASS,Chapter Title,PASS,1,Present.
2CO_001.wav,2 Corinthians,1,24,PASS,Verses,PASS,24/24,"All 24 verses present (Verse 1..24), no missing/extra/duplicates."
2CO_002.wav,2 Corinthians,2,17,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
2CO_002.wav,2 Corinthians,2,17,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
2CO_002.wav,2 Corinthians,2,17,PASS,Head Silence,PASS,2.01s,Expected 2.0s +/- 0.5s; measured 2.01s
2CO_002.wav,2 Corinthians,2,17,PASS,Tail Silence,PASS,2.02s,Expected 2.0s +/- 0.5s; measured 2.02s
2CO_002.wav,2 Corinthians,2,17,PASS,Chapter Title,PASS,1,Present.
2CO_002.wav,2 Corinthians,2,17,PASS,Verses,PASS,17/17,"All 17 verses present (Verse 1..17), no missing/extra/duplicates."
2CO_003.wav,2 Corinthians,3,18,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
2CO_003.wav,2 Corinthians,3,18,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
2CO_003.wav,2 Corinthians,3,18,PASS,Head Silence,PASS,2.00s,Expected 2.0s +/- 0.5s; measured 2.00s
2CO_003.wav,2 Corinthians,3,18,PASS,Tail Silence,PASS,2.22s,Expected 2.0s +/- 0.5s; measured 2.22s
2CO_003.wav,2 Corinthians,3,18,PASS,Chapter Title,PASS,1,Present.
2CO_003.wav,2 Corinthians,3,18,PASS,Verses,PASS,18/18,"All 18 verses present (Verse 1..18), no missing/extra/duplicates."
2CO_004.wav,2 Corinthians,4,18,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
2CO_004.wav,2 Corinthians,4,18,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
2CO_004.wav,2 Corinthians,4,18,PASS,Head Silence,PASS,2.01s,Expected 2.0s +/- 0.5s; measured 2.01s
2CO_004.wav,2 Corinthians,4,18,PASS,Tail Silence,PASS,2.45s,Expected 2.0s +/- 0.5s; measured 2.45s
2CO_004.wav,2 Corinthians,4,18,PASS,Chapter Title,PASS,1,Present.
2CO_004.wav,2 Corinthians,4,18,PASS,Verses,PASS,18/18,"All 18 verses present (Verse 1..18), no missing/extra/duplicates."
2CO_005.wav,2 Corinthians,5,21,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
2CO_005.wav,2 Corinthians,5,21,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
2CO_005.wav,2 Corinthians,5,21,PASS,Head Silence,PASS,2.00s,Expected 2.0s +/- 0.5s; measured 2.00s
2CO_005.wav,2 Corinthians,5,21,PASS,Tail Silence,PASS,2.26s,Expected 2.0s +/- 0.5s; measured 2.26s
2CO_005.wav,2 Corinthians,5,21,PASS,Chapter Title,PASS,1,Present.
2CO_005.wav,2 Corinthians,5,21,PASS,Verses,PASS,21/21,"All 21 verses present (Verse 1..21), no missing/extra/duplicates."
2CO_006.wav,2 Corinthians,6,18,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
2CO_006.wav,2 Corinthians,6,18,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
2CO_006.wav,2 Corinthians,6,18,PASS,Head Silence,PASS,2.01s,Expected 2.0s +/- 0.5s; measured 2.01s
2CO_006.wav,2 Corinthians,6,18,PASS,Tail Silence,PASS,2.28s,Expected 2.0s +/- 0.5s; measured 2.28s
2CO_006.wav,2 Corinthians,6,18,PASS,Chapter Title,PASS,1,Present.
2CO_006.wav,2 Corinthians,6,18,PASS,Verses,PASS,18/18,"All 18 verses present (Verse 1..18), no missing/extra/duplicates."
2CO_007.wav,2 Corinthians,7,16,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
2CO_007.wav,2 Corinthians,7,16,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
2CO_007.wav,2 Corinthians,7,16,PASS,Head Silence,PASS,2.04s,Expected 2.0s +/- 0.5s; measured 2.04s
2CO_007.wav,2 Corinthians,7,16,PASS,Tail Silence,PASS,2.31s,Expected 2.0s +/- 0.5s; measured 2.31s
2CO_007.wav,2 Corinthians,7,16,PASS,Chapter Title,PASS,1,Present.
2CO_007.wav,2 Corinthians,7,16,PASS,Verses,PASS,16/16,"All 16 verses present (Verse 1..16), no missing/extra/duplicates."
2CO_008.wav,2 Corinthians,8,24,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
2CO_008.wav,2 Corinthians,8,24,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
2CO_008.wav,2 Corinthians,8,24,PASS,Head Silence,PASS,2.01s,Expected 2.0s +/- 0.5s; measured 2.01s
2CO_008.wav,2 Corinthians,8,24,PASS,Tail Silence,PASS,2.09s,Expected 2.0s +/- 0.5s; measured 2.09s
2CO_008.wav,2 Corinthians,8,24,PASS,Chapter Title,PASS,1,Present.
2CO_008.wav,2 Corinthians,8,24,PASS,Verses,PASS,24/24,"All 24 verses present (Verse 1..24), no missing/extra/duplicates."
2CO_009.wav,2 Corinthians,9,15,FAIL,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
2CO_009.wav,2 Corinthians,9,15,FAIL,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
2CO_009.wav,2 Corinthians,9,15,FAIL,Head Silence,PASS,2.00s,Expected 2.0s +/- 0.5s; measured 2.00s
2CO_009.wav,2 Corinthians,9,15,FAIL,Tail Silence,FAIL,2.58s,Expected 2.0s +/- 0.5s; measured 2.58s
2CO_009.wav,2 Corinthians,9,15,FAIL,Chapter Title,PASS,1,Present.
2CO_009.wav,2 Corinthians,9,15,FAIL,Verses,PASS,15/15,"All 15 verses present (Verse 1..15), no missing/extra/duplicates."
2CO_010.wav,2 Corinthians,10,18,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
2CO_010.wav,2 Corinthians,10,18,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
2CO_010.wav,2 Corinthians,10,18,PASS,Head Silence,PASS,2.02s,Expected 2.0s +/- 0.5s; measured 2.02s
2CO_010.wav,2 Corinthians,10,18,PASS,Tail Silence,PASS,2.07s,Expected 2.0s +/- 0.5s; measured 2.07s
2CO_010.wav,2 Corinthians,10,18,PASS,Chapter Title,PASS,1,Present.
2CO_010.wav,2 Corinthians,10,18,PASS,Verses,PASS,18/18,"All 18 verses present (Verse 1..18), no missing/extra/duplicates."
2CO_011.wav,2 Corinthians,11,33,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
2CO_011.wav,2 Corinthians,11,33,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
2CO_011.wav,2 Corinthians,11,33,PASS,Head Silence,PASS,2.01s,Expected 2.0s +/- 0.5s; measured 2.01s
2CO_011.wav,2 Corinthians,11,33,PASS,Tail Silence,PASS,2.07s,Expected 2.0s +/- 0.5s; measured 2.07s
2CO_011.wav,2 Corinthians,11,33,PASS,Chapter Title,PASS,1,Present.
2CO_011.wav,2 Corinthians,11,33,PASS,Verses,PASS,33/33,"All 33 verses present (Verse 1..33), no missing/extra/duplicates."
2CO_012.wav,2 Corinthians,12,21,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
2CO_012.wav,2 Corinthians,12,21,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
2CO_012.wav,2 Corinthians,12,21,PASS,Head Silence,PASS,2.01s,Expected 2.0s +/- 0.5s; measured 2.01s
2CO_012.wav,2 Corinthians,12,21,PASS,Tail Silence,PASS,2.35s,Expected 2.0s +/- 0.5s; measured 2.35s
2CO_012.wav,2 Corinthians,12,21,PASS,Chapter Title,PASS,1,Present.
2CO_012.wav,2 Corinthians,12,21,PASS,Verses,PASS,21/21,"All 21 verses present (Verse 1..21), no missing/extra/duplicates."
2CO_013.wav,2 Corinthians,13,14,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
2CO_013.wav,2 Corinthians,13,14,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
2CO_013.wav,2 Corinthians,13,14,PASS,Head Silence,PASS,2.00s,Expected 2.0s +/- 0.5s; measured 2.00s
2CO_013.wav,2 Corinthians,13,14,PASS,Tail Silence,PASS,2.49s,Expected 2.0s +/- 0.5s; measured 2.49s
2CO_013.wav,2 Corinthians,13,14,PASS,Chapter Title,PASS,1,Present.
2CO_013.wav,2 Corinthians,13,14,PASS,Verses,PASS,14/14,"All 14 verses present (Verse 1..14), no missing/extra/duplicates."
ACT_001.wav,Acts,1,26,FAIL,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_001.wav,Acts,1,26,FAIL,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
